Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1430516369704,9259,Login POST,200,OK,Thread Group 1-67,text,true,47903,70,70,1137
1430516371249,7745,Load random friend,200,OK,Thread Group 1-11,text,true,1816,70,70,7745
1430516371293,7733,Load random friend,200,OK,Thread Group 1-12,text,true,1833,70,70,7733
1430516371331,7700,Login Page,200,OK,Thread Group 1-6,text,true,2375,70,70,7700
1430516371352,7715,Load random friend,200,OK,Thread Group 1-13,text,true,1834,70,70,7715
1430516371380,7693,Login Page,200,OK,Thread Group 1-3,text,true,2375,70,70,7693
1430516371513,7595,Load random friend,200,OK,Thread Group 1-14,text,true,1822,70,70,7595
1430516371557,7559,Login Page,200,OK,Thread Group 1-9,text,true,2375,70,70,7558
1430516371886,7274,Load random friend,200,OK,Thread Group 1-17,text,true,1838,70,70,7274
1430516371595,7579,Load random friend,200,OK,Thread Group 1-16,text,true,1841,70,70,7579
1430516371973,7244,Load random friend,200,OK,Thread Group 1-19,text,true,1843,70,70,7243
1430516372053,7176,Load random friend,200,OK,Thread Group 1-15,text,true,1822,70,70,7176
1430516372203,7059,Load random friend,200,OK,Thread Group 1-20,text,true,1843,70,70,7059
1430516372228,7062,Load random friend,200,OK,Thread Group 1-18,text,true,1831,70,70,7062
1430516372502,6800,Load random friend,200,OK,Thread Group 1-21,text,true,1821,70,70,6800
1430516372600,6732,Load random friend,200,OK,Thread Group 1-25,text,true,1831,70,70,6732
1430516372702,6646,Load random friend,200,OK,Thread Group 1-22,text,true,1830,70,70,6645
1430516372832,6544,Load random friend,200,OK,Thread Group 1-23,text,true,1829,70,70,6543
